Word,Pronunciation,Definition
wandering,ˈwɑːndərɪŋ,歩き回る、放浪する,True
midst,mɪdst,真ん中、さなか,False
furious,ˈfjʊəriəs,怒り狂った,False
uneasy,ʌnˈiːzi,不安な,False
bearing,ˈbeərɪŋ,態度、ふるまい,False
tremendous,trɪˈmendəs,巨大な、途方もない,False
decent,ˈdiːsənt,きちんとした、礼儀正しい,False
glimpse,ɡlɪmps,ひと目,False
amazement,əˈmeɪzmənt,驚き,False
composed,kəmˈpəʊzd,落ち着いた,False
dreadful,ˈdredfəl,恐ろしい,False
weary,ˈwɪəri,疲れた、うんざりした,False
cracked,krækt,砕けた、ひびの入った,False
infinite,ˈɪnfənət,無限の,False
rigid,ˈrɪdʒɪd,厳格な,False
weird,wɪəd,奇妙な,False
thrust,θrʌst,ぐいぐいと押す,False
longing,ˈlɒŋɪŋ,あこがれ,False
amid,əˈmɪd,〜の真ん中に,False
couch,kaʊtʃ,カウチ、ソファー,False
profound,prəˈfaʊnd,深い,False
sheer,ʃɪə,本当の、ごく薄い,False
solemn,ˈsɒləm,荘厳な,False
unseen,ˌʌnˈsiːn,目に見えない,False
wreck,rek,難破,False
stirring,ˈstɜːrɪŋ,鼓舞する、活発な,False
fury,ˈfjʊəri,憤激,False
gratitude,ˈɡrætɪtjuːd,感謝,False
alas,əˈlæs,ああ！,False
blast,blɑːst,一吹き、突風,False
intimate,ˈɪntəmət,親密な,False
sideways,ˈsaɪdweɪz,横に,False
subtle,ˈsʌtl,微妙な、緻密な,False
oddly,ˈɒdli,奇妙に,False
acknowledge,əkˈnɒlɪdʒ,認める,False
earnestly,ˈɜːnɪstli,まじめに、熱心に,False
embrace,ɪmˈbreɪs,抱き締める,False
faintly,féɪntli,かすかに、弱々しく,False
obscure,əbˈskjʊə,無名の、あいまいな,False
solitary,ˈsɒlətəri,孤独の、孤立した,False
sunk,sʌŋk,救いようがない,False
torture,ˈtɔːtʃə,拷問,False
alarming,əˈlɑːmɪŋ,不安にさせる,False
skinny,ˈskɪni,痩せこけた,False
sober,ˈsəʊbə,しらふの、慎重な,False
anticipation,ænˌtɪsəˈpeɪʃən,予想,False
bid,bɪd,（競売で）値をつける,False
hence,hens,それゆえに,False
lest,lest,〜するといけないから,False
mortal,ˈmɔːtl,死の、致命的な,False
shrill,ʃrɪl,かん高い,False
feeble,ˈfiːbəl,弱った、微弱な,False
frantic,ˈfræntɪk,半狂乱の,False
fuss,fʌs,空騒ぎ,False
hush,hʌʃ,静かにさせる、なだめる,False
inevitably,ɪˈnevətəbli,必ず、当然,False
transparent,trænˈspærənt,透明な,False
tremble,ˈtrembəl,震える,False
engaging,ɪnˈɡeɪdʒɪŋ,魅力のある,False
revealing,rɪˈviːlɪŋ,啓発的な,False
considerably,kənˈsɪdərəbli,かなり,False
divine,dəˈvaɪn,神の,False
exquisite,ɪkˈskwɪzət,非常に美しい,False
fatigue,fəˈtiːɡ,疲労,False
